Authors [separate with ; last name first],Year,Title,Additional info (i.e. journal),Topics,Language/dialect,Methods,Data,Project,URL,English abstract for non-English or N/A papers,University,Peer-reviewed,Type,OtherLinks,Review
"Fisseler, D.; Weichert, F; Müller G.G.W.; Cammarosano, M.",2013,Towards an interactive and automated script feature analysis of 3D scanned cuneiform tablets.,Scientific Computing and Cultural Heritage 2013,OCR; Script analysis,Hittite,3D-modeling,,CuneiformAnalyzer,http://www.cuneiform.de/fileadmin/user_upload/documents/scch2013_fisseler.pdf,,,yes,Research Paper,,
"Mara, Hubert; Krömker, Susanne",2013,Vectorization of 3D-Characters by Integral Invariant Filtering of High-Resolution Triangular Meshes,"12th International Conference on Document Analysis and Recognition (ICDAR,IEEE)At: Washington DC, USA",Tablet digitization; OCR preprocessing,Cuneiform,3D-modeling; MSII,,GigaMesh,https://www.academia.edu/4830498/Vectorization_of_3D_Characters_by_Integral_Invariant_Filtering_of_High_Resolution_Triangular_Meshes,,,yes,Research Paper,,
"Nurmikko-Fuller, Terhi; Earl, G.; Gibbins, N.",2013,Ontological Representation of Mesopotamian Literary Compositions,"In the proceedings of 2013 American Schools of Oriental Research Annual Meeting, Baltimore, Maryland, 20 – 23 November, 2013.",Ontologies,,,,,,,,yes,Research Paper,,
"Sahala, Aleksi; Koskenniemi, Kimmo",2013,Sumerin ja uralilaisten kielten sukulaishypoteesin testaus kieliteknologian menetelmin,Concluding report submitted to The Finnish Cultural Foundation,Comparative linguistics,Sumerian,Finite-state (Foma); TWOL,,,,"This report presents (A) results on applying finite-state methods to test the consistency of S. Parpola's Proto-Sumerian reconstructions and their alleged relation to Uralic languages, and (B) a critical analysis of S. Parpola's etymologies. Of the 2624 suggested etymologies, 73 featured regular sound correspondeces with at least one minimal pair and had an alleged cognate in both, West and East Uralic. However, taking into account several other uncertainties such as possible borrowings, questionable semantic relations and the vocabulary that is traditionally not reconstructed beyond Proto-Finnic (i.e. not into Uralic or even Permic), at least 45 of these etymologies have to be likely discarded. Although the remaining 28 etymologies show varying degree plausibility, the report concludes that the hypothesis of genealogical relationship between Uralic and Sumerian languages cannot be reliably confirmed on basis of the lexical evidence presented at the time using computational models. Nonetheless, the study shows that finite-state machines as concatenated rewrite rules are very useful for modeling and evaluating phonological change between various development stages of languages, whereas the parallelly applied TWOL rules are significantly more difficult to implement unless the languages are closely related.",,no,Descriptive notes,,
"Schmitz, Patrick; Pearce, Laurie",2013,"Berkeley Prosopography Services: ancient families, modern tools","Proceedings of the 1st International Workshop on Collaborative Annotations in Shared Environment: metadata, vocabularies and techniques in the Digital Humanities, Sept. 2013, No. 1, pp. 1-8. ","Prosopography, SNA",Akkadian,"Statistical, heuristic",,BPS,https://doi.org/10.1145/2517978.2517980,,,yes,Research Paper,,
"Wagner, A.; Levavi, Y.; Kedar, S.; Abraham, K.; Cohen, Y.; Zadok, R.",2013,Quantitative Social Network Analysis (SNA) and the Study of Cuneiform Archives: A Test-Case Based on the Murašû Archive,Akkadica 134,SNA,Neo-Babylonian; Late Babylonian,,,,https://www.academia.edu/41869034/Quantitative_Social_Network_Analysis_SNA_and_the_Study_of_Cuneiform_Archives_A_Test_case_based_on_the_Mura%C5%A1%C3%BB_Archive,,,yes,Research Paper,,
"Yang, Q.",2013,Anwendung von Methoden digitaler Bildverarbeitung zur Erkennung von Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,Application of methods of digital image processing for the recognition of cuneiform tablets,TU Dortmund,,Thesis,,
"Cammarosano, Michele",2014,A Quantitative Approach to Cuneiform Palaeography.,"Proc. of Workshop organised at the 60ᵗʰ Rencontre Assyriologique Internationale, Elena Devecchi, Gerfrid G. W. Müller, Jana Mynářová (eds.), Warsaw 2014.","Joins (fragment clustering), Sign analysis",Hittite,,,,https://www.academia.edu/21441023/3D_Joins_und_Schriftmetrologie_A_Quantitative_Approach_to_Cuneiform_Palaeography,,,yes,Research Paper,,
"Cammarosano, Michele; Müller, Gerfrid, G. W.; Fisseler, Denis; Weichert, Frank",2014,Schriftmetrologie des Keils: Dreidimensionale Analyse von Keileindrücken und Handschriften,"Die Welt des Orients, Ausgabe: 44.1, 2014",Sign analysis,,,,,https://www.academia.edu/7259702/Schriftmetrologie_des_Keils_Dreidimensionale_Analyse_von_Keileindr%C3%BCcken_und_Handschriften,,,yes,Research Paper,,
"Cao, D. T",2014,Extraktion philologisch relevanter Keilschriftstrukturen aus photographischen Daten,BA Thesis,Cuneiform analysis,,,,,,Extraction of philologically relevant cuneiform script structures from photographic data,TU Dortmund,,Thesis,,
"Ch'ng, E.; Woolley, S. I.; Hernandez-Munoz, L.; Collins, T.; Lewis, A.; Gehlken, E. ",2014,The Development of a Collaborative Virtual Environment for 3D Reconstruction of Cuneiform Tablets. ,In 2014 International Conference on Virtual Systems & Multimedia (VSMM) (pp. 35-42). IEEE,Infra,,,,VCTR,https://www.researchgate.net/publication/275089632_The_Development_of_a_Collaborative_Virtual_Environment_for_3D_Reconstruction_of_Cuneiform_Tablets,,,yes,Research Paper,,
"Charpin, Dominique",2014,Ressources Assyriologiques sur Internet,"Bibliotheca Orientalis, 71(3-4), 331-357.",Survey (online resources),,,,,http://www.digitorient.com/wp/wp-content/uploads/2015/01/Charpin_2014_BiOr71_331-357.pdf,,,yes,Research Paper,,
"Chiarcos, Christian, Pagé-Perron, Émilie; Khait, Ilya; Wang, Jinyan; Reckling, Lucas; Baker, Heather D. (PI)",2014,Dependency Syntax for Sumerian,MTAAC,Treebanking,Sumerian,UD,,,https://cdli-gh.github.io/annodoc/#background-and-general-information,,,no,Descriptive notes,,
"Collins, Tim; Woolley, Sandra, I; Ch’ng, Eugene; Lewis, Andrew; Gehlken, Erlend; Hernandez-Munoz, Luis",2014,Computer-Assisted Reconstruction of Virtual Fragmented Cuneiform Tablets.,"IEEE International Conference on Virtual Systems & Multimedia (VSMM), Hong Kong.",Joins,,Depth maps,,VCTR,https://www.researchgate.net/publication/269101067_Computer-Assisted_Reconstruction_of_Virtual_Fragmented_Cuneiform_Tablets,,,yes,Research Paper,,
"Collins, Tim; Woolley, Sandra; I., Ch’ng, Eugene; Gehlken, Erlend; Lewis, Andrew; Munoz, Luis H.",2014,Automated Reconstruction of Virtual Fragmented Cuneiform Tablets.,White paper,Joins,,,,,https://www.researchgate.net/publication/264970864_Automated_Reconstruction_of_Virtual_Fragmented_Cuneiform_Tablets,,,no,Research Paper,,
"Dik, E. C.",2014,Hitit çiviyazısı işaretlerinin otomatik çevirisi,MA Thesis,Cuneiform analysis,,,,,http://dspace.baskent.edu.tr:8080/xmlui/bitstream/handle/11727/2124/10053908.rar?sequence=1&isAllowed=y,Automatic translation of Hittite cuneiform signs,Başkent,,Thesis,,
"Fisseler, Denis; Weichert, Frank; Müller, Gerfrid, G. W.; Cammarosano, Michele",2014,Extending Philological Research with Methods of 3D Computer Graphics Applied to Analysis of Cultural Heritage,"12th EUROGRAPHICS Workshops on Graphics and Cultural Heritage, 2014",Joins; Sign analysis,,,,,https://www.academia.edu/9481672/Extending_Philological_Research_with_Methods_of_3D_Computer_Graphics_Applied_to_Analysis_of_Cultural_Heritage_Co_authored_with_Denis_Fisseler_Frank_Weichert_Gerfrid_G_W_M%C3%BCller_,,,yes,Research Paper,,
"Gehlken, Erlend; Woolley, Sandra I.; Collins, Tim; Ch'ng, Eugene",2014,Automated Joining of Cuneiform Tablet Fragments,"Nouvelles Assyriologiques Brèves et Utilitaires, 119-120",Joins,,,,VCTR,https://www.researchgate.net/publication/271700009_Automated_Joining_of_Cuneiform_Tablet_Fragments,,,yes,Research Paper,,
"Mostofi, F.;  Ksashman, A.",2014,Intelligent Recognition of Ancient Persian Cuneiform Characters.,International Conferenceon Neural Computation Theoryand Applications,OCR,Old Persian,,,,,,,yes,Research Paper,,
"Müller, Gerfrid, G. W.; Fisseler, Denis; Weichert, Frank",2014,"3D-Joins und Schriftmetrologie: Die Entwicklung des „CuneiformAnalyser"" zur Computer-unterstützten Visualisierung, Analyse und Rekonstruktion von Keilschrifttafeln","in: E. Devecchi – G.G.W. Müller – J. Mynářová (eds.), Current Research in Cuneiform Paleography. Proceedings of the Workshop held at the 60th Rencontre Assyriologique Internationale, Warsaw 2014, Gladbeck, 129-144.",OCR,Hittite,,,,,,,yes,Research Paper,,
"Nitschke, T.",2014,Topologie-konforme Klassifikation archäologischer Keilschriftstrukturen,MA Thesis,Cuneiform analysis,,,,,,Topology-compliant classification of archaeological cuneiform structures,TU Dortmund,,Thesis,,
"Nurmikko-Fuller, Terhi",2014,Sumerian Language Online: Challenges and Opportunities. ,ACM XRDS Crossroads.,Ontologies,Sumerian,,,,,,,yes,Research Paper,,
"Nurmikko, Terhi",2014,Assessing the suitability of existing OWL ontologies for the representation of narrative structures in Sumerian literature,"In Elliott, T., Heath, S. and Muccigrosso, J. (eds). “Current Practice in Linked Open Data for the Ancient World“. ISAW Papers, 7. Institute for the Study of the Ancient World, New York University.",Ontologies,Sumerian,,,,,,,yes,Research Paper,,
"Nurmikko, Terhi",2014,Ontological Representation of Sumerian Literary Narratives. ,"In the proceedings of British Association of Near Eastern Archaeology, University of Reading, 9-11 January 2014.",Ontologies,,,,,,,,yes,Research Paper,,
"Sahala, Aleksi",2014,Babylonian diskontinuatiivisen morfologian ohjelmallinen jäsentäminen,MA Thesis,Morphology,,,,,http://www.ling.helsinki.fi/~asahala/parser2.html (only software available),Procedural analysis of Babylonian nonlinear morphology,Helsinki,,Thesis,,
"Aşuroglu, T.",2015,Hitit çiviyazisi işaretlerinin bilgisayar desteği ile okunmasi ve veri madenciliği uygulama örnekleri,MA Thesis,Cuneiform analysis,,,,,http://dspace.baskent.edu.tr/bitstream/handle/11727/2350/10082455.pdf?sequence=1&isAllowed=y,Computer-aided reading of Hittite cuneiform signs with data mining applications,Başkent,,Thesis,,
"Aşuroglu, Tunc; Aktaş, Ziya A.",2015,Bi̇r Bi̇lgi̇ Si̇stemi̇ Modeli̇ Ve Hi̇ti̇t Çi̇vi̇yazisi İşaretleri̇ni̇n Okunmasi,USMOS 2015,OCR,Hittite,,,,,,,yes,Research Paper,,
"Bogacz, Bartosz; Gertz, Michael; Mara, Hubert",2015,Cuneiform Character Similarity Using Graph Representations,"Conference: 20th Computer Vision Winter Workshop (CVWW'15)At: Seggau, Austria",OCR,,,,Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/271764997_Cuneiform_Character_Similarity_Using_Graph_Representations,,,yes,Research Paper,,
"Bogacz, Bartosz; Gertz, Michael; Mara, Hubert",2015,Character retrieval of vectorized cuneiform script,In Proc. 13th Int. Conf. on Document Analysis and Recognition (ICDAR). France.,OCR,,,,Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/281781820_Character_Retrieval_of_Vectorized_Cuneiform_Script,,,yes,Research Paper,,
"Bogacz, Bartosz; Massa, Judith; Mara, Hubert",2015,Homogenization of 2D & 3D Document Formats for Cuneiform Script Analysis,In Proc. of 3rd Int. Workshop on Historical Document Imaging and Processing.,Tablet digitization,,,,Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/282769268_Homogenization_of_2D_3D_Document_Formats_for_Cuneiform_Script_Analysis,,,yes,Research Paper,,
"Homburg, T; Chiarcos, C;, Richter, T; Wicke, D",2015,Learning cuneiform the modern way,,,,,,,https://www.researchgate.net/profile/Timo_Homburg/publication/312605007_Learning_Cuneiform_The_Modern_Way/links/5c81b0df299bf1268d44a5fc/Learning-Cuneiform-The-Modern-Way.pdf,,,,Research Paper,,
"Inglese, Guglielmo",2015,Towards a Hittite treebanks: Basic challenges and methodological remarks,Proceedings of the Workshop on Corpus-Based Research in the Humanities (CRH),Treebanking,Hittite,,,,http://static.ceres.rub.de/media/filer_public/87/d7/87d71edc-4c68-4ce5-8a36-de44e990bc9e/corpus_based_research_in_the_humanities_2015.pdf#page=68,,,yes,Research Paper,,
"Lewis, Andrew",2015,The Reconstruction of Virtual Cuneiform Fragments in an Online Environment,"PhD Thesis, Birmingham",Joins,,,,,https://www.researchgate.net/publication/308168969_The_Reconstruction_of_Virtual_Cuneiform_Fragments_in_an_Online_Environment,,,yes,Research Paper,,
"Lewis, Andrew; Woolley, Sandra; Ch'ng, Eugene; Gehlken, Erlend",2015,Observed methods of cuneiform tablet reconstruction in virtual and real world environments,"Journal of Archaeological Science 53, pp.156-165",Joins,,,,,https://www.sciencedirect.com/science/article/pii/S0305440314003690?casa_token=xwDDcfsUEJoAAAAA:V8d1IiQVU3n0d63fhRW_vGjQQ2HNvVVw3a1dQrtl_Ay9YrGFb5ZUttV7728dUPyktemIUuYk7A,,,yes,Research Paper,,
"Liu, Y.; Burkhart, C.; Hearne, J.; Luo, L.",2015,Enhancing Sumerian Lemmatization by Unsupervised Named-Entity Recognition,In Proceedings of the 2015 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (pp. 1446-1451).,NER,Neo-Sumerian,DL-CoTrain,,,https://www.aclweb.org/anthology/N15-1167.pdf,,,yes,Research Paper,,
"Luo, L.; Liu, Y.; Hearne, J.; Burkhart, C. ",2015,Unsupervised Sumerian Personal Name Recognition,In The Twenty-Eighth International Flairs Conference.,NER,Neo-Sumerian,DL-CoTrain,,,https://www.aaai.org/ocs/index.php/FLAIRS/FLAIRS15/paper/view/10406/10323,,,yes,Research Paper,,
"Nurmikko-Fuller, Terhi",2015,Telling ancient tales to modern machines: ontological representation of Sumerian literary narratives,Phd thesis: Southampton,Ontologies,Sumerian,,,,https://eprints.soton.ac.uk/377913/1/Nurmikko-Fuller_2015_thesis.pdf,,,yes,Research Paper,,
"Panayotov, Strahil V.",2015,The Gottstein System Implemented on a Digital Middle and Neo-Assyrian Palaeography,Cuneiform Digital Library Notes 17,,,,,,,,,,Research Paper,,
"Rothacker, Leonard; Fisseler, Denis; Müller, Gerfrid G. W.; Weichert, Frank; Fink, Gernot, A.",2015,Retrieving Cuneiform Structures in a Segmentation-free Word Spotting Framework,International Workshop on Historical Document Imaging and Processing 2015,OCR,Hittite,,,,https://dl.acm.org/doi/pdf/10.1145/2809544.2809562,,,yes,Research Paper,,
"Seebold, A.",2015,Distanz-basierte dreidimensionale Rekonstruktion von Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,Distance-based three-dimensional reconstruction of cuneiform tablets,TU Dortmund,,Thesis,,
"Yesiltepe, B. M.",2015,Hitit çiviyazılı metinlerin okunmasında uzman sistem uygulama örnekleri,MA Thesis,Cuneiform analysis,,,,,http://dspace.baskent.edu.tr:8080/bitstream/handle/11727/2344/10082886.pdf?sequence=1&isAllowed=y,Examples of expert system applications for reading Hittite cuneiform texts,Başkent,,Thesis,,
"Bartosz, Bogacs; Howe, Nicholas; Mara, Hubert.",2016,Segmentation Free Spotting of Cuneiform using Part Structured Models,"International Conference on Frontiers in Handwriting Recognition (ICFHR)At: Shenzhen, China",OCR,,,,GigaMesh,https://www.researchgate.net/publication/310459405_Segmentation_Free_Spotting_of_Cuneiform_Using_Part_Structured_Models,,,yes,Research Paper,,
"Bogacz, Bartosz; Mara, Hubert",2016,Clustering Fundamental Spatial n-Grams for Large Scale Cuneiform Search,"Conference: 12th International Workshop on Document Analysis Systems (DAS)At: Santorini, Greece",OCR,,,,,https://www.researchgate.net/publication/303767872_Clustering_Fundamental_Spatial_n-Grams_for_Large_Scale_Cuneiform_Search#fullTextFileContent,,,yes,Research Paper,,
Chronology; Time-series data,2016,Syntactic Annotation for a Hittite Corpus: Problems and Principles,"Proceedings of the Workshop on Computational Linguistics and Language Science (CLLS 2016), Moscow, Russia (Vol. 26).",Treebanking,Middle Hittite,Phrase structure grammars,,,http://ceur-ws.org/Vol-1886/paper_12.pdf,,,yes,Research Paper,,
"Collins, Tim; Gehlken, Erlend; Woolley, Sandra I.; Hanes, Laurence; Levis, Andrew; Hernandez-Munoz, Luis; Ch'ng, Eugene",2016,From Uruk to Ur: Automated Matching of Virtual Tablet Fragments,62nd Rencontre Assyriologique Internationale.,Joins,Sumerian,,,VCTR,https://e-space.mmu.ac.uk/618089/1/From%20Uruk%20to%20Ur.pdf,,,,Descriptive notes,,
"Cousin, Laura; Watai, Yoko",2016,Onomastics of Women in Babylonia in the First Millennium BC,"Orient: Journal of the Society for Near Eastern Studies in Japan 51, pp.3-27",Onomasticon,Statistics,,,,https://www.jstage.jst.go.jp/article/orient/51/0/51_3/_pdf/-char/en,,,yes,Research Paper,,
"Homburg, Timo & Chiarcos",2016,Akkadian Word Segmentation,LREC 2016,Tokenization,Akkadian,SVM; MaxMatch; Maximum Entropy; Various,,,https://www.researchgate.net/publication/312605308_Word_Segmentation_for_Akkadian_Cuneiform,,,yes,Research Paper,,
Laith Abd Ali,2016,Cuneiform Symbols Recognition and Classification,MA Thesis,,,,,,https://www.uotechnology.edu.iq/dep-cs/mypdf/abstracts/2016/m6.pdf,,,,Thesis,,
"Liu, Y.; Hearne, J.; Conrad, B. ",2016,Recognizing Proper Names in UR III Texts through Supervised Learning,"Proceedings of the TwentyNinth International Florida Artificial Intelligence Research Society Conference (Flairs 2016),",NER,Neo-Sumerian,SVM; Random forest; Gradient descent; Gradient boosting; Various,,,https://www.aaai.org/ocs/index.php/FLAIRS/FLAIRS16/paper/viewFile/12976/12626,,,yes,Research Paper,,
"Mara, Hubert",2016,Automatische Vektorzeichnungen von Keilschrittafeln aus 3D-Messdaten mit dem GigaMesh Software-Framework,3D-Anwendungen in der Archäologie: Computeranwendungen und quantitative Methoden in der Archäologie,OCR,,,,GigaMesh; Spotting and Searching Cuneiform Symbols,https://refubium.fu-berlin.de/bitstream/handle/fub188/22564/bsa_034_06.pdf?sequence=1,,,yes,Research Paper,,
"Massa, Judith; Bogacz, Bartosz; Krömker, Susanne; Mara, Hubert",2016,Cuneiform Detection in Vectorized Raster Images,"Conference: 21st Computer Vision Winter Workshop (CVWW'16)At: Rimske Toplice, Slovenia",OCR,,,,Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/293482313_Cuneiform_Detection_in_Vectorized_Raster_Images,,,yes,Research Paper,,
"Molina, Manuel",2016,Archives and Bookkeeping in Southern Mesopotamia during the Ur III period,Comptabilités 8,Chronology; Time series data,Sumerian,Chronological sequencing,,,http://journals.openedition.org/comptabilites/1980,,,,Research Paper,,
"Molina, Maria; Molin, A.",2016,Automatable Annotations–Image Processing and Machine Learning for Script in 3D and 2D with GigaMesh,Proceedings of the International Conference “Dialogue 2016”.,Treebanking,Middle Hittite,Phrase structure grammars,,,https://d1wqtxts1xzle7.cloudfront.net/46424583/MolinaMMolinA.pdf?1465769458=&response-content-disposition=inline%3B+filename%3DIn_a_Lacuna_Building_a_Corpus_for_a_Dead.pdf&Expires=1604783954&Signature=V5jeLtaA4RVMoRR5fxRpEqzk4mUW18zE-R8CZDkwO5Eq5q~b99NoKIDhAtiOiOoea7WeeC7a3DWz9m6owKKxulCeFvlPX-c-TxNR7k2HTAjzPxYuAKiKKp8gXTF~EacpftqasnM2G2tq-ghh037p24AoOGNRAroO0-FxWd1G5goV6USCuNIocu-aOXW1aF5i9fHH6Cc2wjSWkhVPBiGmCofJnesbAu1CGCOruMi-VgEB8CfZVOoL12XmGPxVmdrJvpHY7KfcbFDoj~qsQI7ouGKiigYNbvMKa5L6Xf5riO~-5o59fzNoHIhA7xf56ztv2urbCAe6YVsR36XVOLtcUQ__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,yes,Research Paper,,
R. Bernhard,2016,Metrik-konforme Identikation homogener Keilschriftstrukturen,BA Thesis,Cuneiform analysis,,,,,,Metric-compliant identification of homogeneous cuneiform structures,TU Dortmund,,Thesis,,
"Sahala, Aleksi",2016,Xlitconv – A cuneiform learning tool for ETCSL,Academia.edu,Education,Sumerian,,,,https://www.academia.edu/28399116/Xlitconv_A_cuneiform_learning_tool_for_ETCSL,,,tool documentation,Research Paper,,
"Seire, Maarja",2016,"Social Networks in Old Babylonian Nippur during the Reign of King Samsuiluna (Si 1–30, 1749–1720 BCE)",MA Thesis,SNA,,,,,https://openaccess.leidenuniv.nl/handle/1887/42894,,Leiden,,Thesis,,
"Bogacz, Bartosz; Klingmann, Maximilian; Mara, Hubert",2017,Automating Transliteration of Cuneiform from Parallel Lines with Sparse Data,"4th IAPR International Conference on Document Analysis and Recognition (ICDAR2017)At: Kyoto, Japan",OCR; Transliteration,Assyrian,SVM; HMM; KNN,,Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/profile/Hubert_Mara/publication/321491564_Automating_Transliteration_of_Cuneiform_from_Parallel_Lines_with_Sparse_Data/links/5a256f66a6fdcc8e866a4b7d/Automating-Transliteration-of-Cuneiform-from-Parallel-Lines-with-Sparse-Data.pdf,,,yes,Research Paper,,
"Bogacz, Bartosz; Mara, Hubert",2017,Automatable Annotations – Image Processing and Machine Learning for Script in 3D and 2D with GigaMesh,"Kodikologie und Paläographie im digitalen Zeitalter 4 / Codicology and Palaeography in the Digital Age 4Chapter: 8Publisher: Institut für Dokumentologie u. Editorik e.V. (IDE)Editors: Hannah Busch, Franz Fischer, Patrick Sahle",OCR,,,,GigaMesh; Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/318530474_Automatable_Annotations_-_Image_Processing_and_Machine_Learning_for_Script_in_3D_and_2D_with_GigaMesh,,,yes,Research Paper,,
"Collins, Tim; Woolley, Sandra. I.; Ch'ng, Eugene; Hernandez-Munoz, Luis; Gehlken, Erlend; Nash, David; Lewis, Andrew; Hanes, Laurence",2017,A virtual 3D cuneiform tablet reconstruction interaction.,Proceedings of the 31st British Computer Society Human Computer Interaction Conference (pp. 1-3).,Joins,,,,VCTR,https://www.researchgate.net/publication/317620495_A_Virtual_3D_Cuneiform_Tablet_Reconstruction_Interaction,,,yes,Research Paper,,
"Fisseler, Denis; Müller, Gerfrid, G. W.; Weichert, Frank",2017,Web-Based Scientific Exploration and Analysis of 3D Scanned Cuneiform Datasets for Collaborative Research,"Informatics 2017, 4(4), 44",Infra; tablet digitization,Hittite,,,,https://www.researchgate.net/publication/321765881_Web-Based_Scientific_Exploration_and_Analysis_of_3D_Scanned_Cuneiform_Datasets_for_Collaborative_Research,,,yes,Research Paper,,
"Gehlken, E.; Collins, T.; Woolley, S.; Ch'ng, E.; Hanes, L.; Lewis, A.; Hernandez-Munoz, L.",2017,Searching the Past in the Future -Joining Cuneiform Tablet Fragments in Virtual Collections,"63rd RAI, Marburg",Joins,,,,VCTR,https://core.ac.uk/download/pdf/195261205.pdf,,,yes,Research Paper,,
"Homburg, Timo",2017,POS Tagging and Semantic Dictionary Creation for Hittite Cuneiform,DH2017,Annotation,Hittite,,,,https://d1wqtxts1xzle7.cloudfront.net/58482906/conference_poster_3.pdf?1550920762=&response-content-disposition=inline%3B+filename%3DPOSTagging_and_Semantic_Dictionary_Creat.pdf&Expires=1604783169&Signature=FTq~g4YXOcNcPy0AzHtY0pvyf8EZXrL60FKAiudW8BqHlBw6g-uIpn2RAqyPjZnMibYIO0C4I4veDoOu3lDc4c7hfy1XXTtkX-pl3-m4AeLjx9vPOgTcPpB8mz9WEW~uhRaWJBvHibFm88XJHUX0lbghmxgSa5-h42R8597Whci6uYZvrZytb9SqCqOl6~SneKedI37wkrS9BRkZ2TBQmZEDHTS0nyGI6TJ2jezZKoiyzhGU4KNOWMwEj1Oz9OmWL67DFKIteRBer8~N27J1xHPDGofs2HbwXnC9YJ83VLwIgs~eP9d-2o0DtghCxaQQlnnab2xn1mNuCVBVpRdSDA__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,,,,Research Paper,,
"Mara, Hubert; Krömker, Susanne",2017,Visual Computing for Archaeological Artifacts with Integral Invariant Filters in 3D,"15th Eurographics Workshop on Graphics and Cultural Heritage (GCH)At: Graz, Austria",Tablet digitization,,,,GigaMesh,https://www.researchgate.net/publication/320287363_Visual_Computing_for_Archaeological_Artifacts_with_Integral_Invariant_Filters_in_3D,,,yes,Research Paper,,
"Pagé-Perron, Émilie; Sukhareva, Maria; Khait, Ilya; Chiarcos, Christian",2017,Machine Translation and Automated Analysis of the Sumerian Language,"Proceedings of the Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature, Association for Computational Linguistics Anthology",Machine translation,Neo-Sumerian,,,,https://www.aclweb.org/anthology/W17-2202/,,,yes,Research Paper,,
"Plachtzik, Simon; Mäder, Michael; Rawyler, Nicolai",2017,Das Syllabar der elamischen Strichscrift – Eine Zeichenanalyse,Publikationen von Alice Kober Gesellschaft für die Entzifferung antiker Schriftsysteme.,Decipherment,Linear-Elamite,,,,https://center-for-decipherment.ch/pubs/plachtzik-et-al-2017__das-syllabar-der-elamischen-strichschrift/,,,?,General Info / Website,,
"Rahma, Abdul Monem S.; Ali Adel Saeid; Muhsen J. Abdul Hussien. ",2017,Recognize Assyrian cuneiform characters by virtual dataset,"6th International Conference on Information and Communication Technology and Accessibility (ICTA). IEEE, 2017.",OCR,,,,,,,,yes,Research Paper,,
"Sukhareva, Maria; Fuscagni, Francesco; Daxenberger, Johannes; Görke, Susanne; Prechel, Doris; Gurevych, Iryna",2017,Distantly supervised POS tagging of low-resource languages under extreme data sparsity: The case of Hittite.,"Proceedings of the Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature, pages 95–104, Vancouver, Canada. Association for Computational Linguistics.",,Hittite,POS tags,,10.18653/v1/W17-2213,https://aclanthology.org/W17-2213/,,,,Research Paper,,
"Thaller, Manfred",2017,OCR: Optical Cuneiform Recognition,"Zwischen Karawane und Orientexpress Alter Orient und Altes Testament, Veröffentlichungen zur Kultur und Geschichte des Alten Orients und des Alten Testaments, Band 434",OCR,Cuneiform,,,,https://www.researchgate.net/publication/324006772_OCR_Optical_Cuneiform_Recognition,,,yes,Research Paper,,
"Tinney, Steve J.",2017,Sumerian Lemmatization Primer,Technical Report,,Sumerian,,,,http://oracc.museum.upenn.edu/doc/help/languages/sumerian/sumerianprimer/index.html,,,,Descriptive notes,,
"Voß, H.",2017,CNN-gestützte Klassifikation von Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,CNN-based classification of cuneiform tablets,TU Dortmund,,Thesis,,
"Woolley, Sandra. I.; Ch'ng, Eugene; Hernandez-Munoz, Luis; Gehlken, Erlend; Collins, Tim; Nash, David; Lewis, Andrew; Hanes, Laurence",2017,A collaborative artefact reconstruction environment.,Proceedings of the 31st International BCS Human Computer Interaction Conference (HCI 2017). BCS.,Infra,,,,VCTR,https://www.researchgate.net/publication/316938505_A_Collaborative_Artefact_Reconstruction_Environment#fullTextFileContent,,,yes,Research Paper,,
"Alstola, Tero",2018,Judeans in Babylonia: A Study of Deportees in the Sixth and Fifth Centuries BCE,"PhD Thesis, Leiden/Helsinki",SNA,Neo-Babylonian,,,,https://helda.helsinki.fi/handle/10138/228667,,,yes,Thesis,,
"Anderson, Adam G.",2018,The Old Assyrian Social Network: An Analysis of the Texts From Kültepe-Kanesh (1950-1750 B.C.E.),"PhD Thesis, Harvard",SNA,Old Assyrian,,,Old Assyrian Text Project,https://dash.harvard.edu/handle/1/39947158,,Harvard,yes,Thesis,,
"Bigot Juloux, Vanessa",2018,A Qualitative Approach Using Digital Analyses for the Study of Action in Narrative Texts: KTU L1-6 from the Scribe 'Ilimilku of Ugarit as a Case Study,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Text Mining,Ugaritic,,,,,,,yes,Research Paper,,
