word,definition,derived_from
appiš I,"conj. ""since, given that"" OA, OB, jB lex.;",appu I
appu I,"f. ""nose"" Bab., M/NA [KIR4]  1. liter.: ""nose"", also du., of person, animal; ""beak"" of bird; rēš a. ""tip of the nose""; hēhēn a., nurub a. ""soft parts of the nose""; nahīr a., piliš a. ""nostril""; libbi a. ""nasal cavity""; birīt a. ""nasal septum""?; dūr a. ""'wall of the nose', cheek""; haṣarti a. ""nasal mucus""; šār a. ""breath""2. idioms: labān a. (a gesture of prostration); a. qadādu/quddudu (a gesture of grief); Mari a. mahāṣum (a gesture of distress); OB a.-šu kašādum ""to defeat"" s.o.; ṣibit a. ""moment""3. transf.: ""tip"" of tongue, finger, penis, beard; ""extremity"" of shapes, objects etc.; ""rim"" of vessel; ""crown"" of tree; ""fringe"" of garment; ""point"" of land, ""causeway, bund""; MB wooden ""stake""",appiš I appatu I appītā I
apputtu I,"~ ""please; it is urgent"" (interj.) O/MA, OB, jB lex.",cf. a. II ?
appān I,in PN for ana pān (cf. pānu I),
appānu I,"(a pulse, phps.) ""chick-pea"" Mari",
appānu II,(a bird) Bogh.,cf. abbunnu I
appāru I,"pl. m. & f. ""reed-bed, marsh"" [AMBAR], NA also ""reed(s)""; qan a. ""reed""; fish, birds simat a. ""belonging to the marshes"" [ME.TE AMBAR.RA]; NB rab a. ""marsh overseer"";",Sum. 
appātu I,"in bīt a. ""portico"" jB (= bīt hilāni);",
appītā I,"f. du. ""nostrils""? jB of ape's snout;",appu I
appūna I,"""moreover"" OAkk, OA, O/jB",
apru I,"in aprūssa ""with head covered"" OB of woman;",apāru I
aprušu I,"(a plant) jB, NA as drug; oil, seed, flour of a.",
apsammikku I,(a geometrical shape) O/jB [ÁB.ZÀ.MÍ];,Sum. 
apsasû I,"1. (an exotic bovid)2. (a myth. animal with the body of a cow), ""sphinx"" OAkk, O/jB as figurine; jB(Ass.) of bull-colossus; [(MUNUS.)ÁB.ZA.ZA]",Sum. 
apsû I,"""(cosmic) underground water"" Bab., NA [ABZU(=ZU.AB)]  1. lit., as home of fish, location of foundations; kār a. ""quay of the a."" (a ritual place)2. ""(deities of) the apsû""3. (a primeval deity)4. NA?, NB (a water tank in temple)5. j/NB bīt a. (a part of the temple) [É/ÈŠ.ABZU]",Sum. 
aptu I,"pl. apātu ""window, window opening"" Ass., O/jB [AB] in house, NB in sluice; OB ina pī a. nadānum, madādum ""to pay in the house of the recipient""; DN dKilili ša apāti, abāti; ""niche of dovecot""?; a. uzni ""ear-hole"" O/jB;",apāniš I
apu I,"""reed-bed; reeds (coll.)"" Ass., O/jB [GIŠ.GI]; apukka ""to your reedbed""; qān a. ""marsh-reed""; šah a. ""wild boar"" (cf. šahapu); hašhūr a. (a plant);",apiš I
apu II,"""hole, opening"" in the ground NA rit.",
apu III,(a leather object)? jB,
apuhhu I,"~ ""fear"" jB",
apurugiš I,mng. unkn. NB,
aputtu II,"(or abbuttum, āb/puttum) ~ ""difficult situation"" OA; = a. I ?",
apâtu I,"f. pl. ""numerous, teeming"", epith. of nišū, also absol., ""humanity""",
apû I,"""veiled"" Bab. of eyes;   II",apû III
apû II,(a spiny plant) jB,
apû III,"""to become veiled, cloudy"" jB med. G of eyes",apû I ipītu I ? upû I
apālu I,"""to pay; answer"" G (a/u; NB pres. once ihappal ?) 1. ""pay"" s.o. s.th. (= 2 acc.), ""repay"" s.th., ""settle"" claim; ""pay off, satisfy"" s.o.; M/NA ""make in full"" sacrificial offering; Bab. math., astr., of solution ""give the result""2. ""answer"" s.o. (= acc.); ext. ""correspond to"" another feature3. OA, OB ""answer to"", ""be answerable to"" s.o. (= acc.), ""justify o.s. before""4. with idu, kūm ""stand in for, represent"", freq. in PNGtn iter. ""pay"", ""stand in for"" on separate occasions Gt ""answer one another, have discussion"", ""stand in for permanently"" D ""be held responsible"" Š ""make s.o. answer"" N ""be paid off, become satisfied""",āpilu Iāpiltu Iāpilānu I iplū I mūtaplu I nāpaltu I nāpalû I tāpalu I tāpiltu Itāpultu I
apālu II,"""to be (too) late"" G jB of star ""be late"" D OA stat. of birth ""is retarded""; jB of Adad (= thunderstorm) ""come later than expected"" Dt ""be delayed""",aplu Iapiltu I tāpalātu I uplētu I uppulu Iuppultu I cf. aplu II and derivatives uppulu II
apāniš I,"""through the window(s)"" jB;",aptu I + -ān + -iš
apāpu I,"mng. uncl. Mari G unattested N (or n ?) ~ ""infiltrate""",
apāru I,"""to cover the head"" Bab., M/NA G (e/e, OB a/u) ""put"" crown, helmet etc. ""on the head of"" s.o. (= acc.), stat. ""wears""; transf. of moon, star, king ""be decked with"" halo, radiance etc.; OB stat. of sheep's tongue ""be covered, capped"" ext. Gtn iter. of G, MA ""constantly crown"" king Gt stat. ""is decked with"" D ""put headgear (= acc.) on head of"" s.o. (= acc.) N ""be crowned, covered""",apru I itpuru I upru I upurtu I
apāšu I,"""to insult"" G OB D jB lex. pištu uppušu ""cast abuse""",pištu I
apītaš I,mng. unkn. jB,
apītu I,(a kind of fallow land) O/jB,
apšitû I,"""agreed allocation"" OB of division of land, ""contingent"" of troops;",Sum. 
apūtu I,(a plant) jB,
aqarhu I,(a piece of jewellery) Am.(Mit.) of coloured stones;,Hurr. 
aqdamu I,"""former time"" OB;",cf. qadmu I
aqdamātu I,"""near bank"" Mari of a river;",
aqqabu I,"pl. aqqabāni ""remainder""? NA of textiles;",Aram. 
aqqaru I,"""very precious"" j/NB;",waqāru I
aqrabu I,"""scorpion"" jB lex.;",W.Sem. 
aqru I,"f. (w)aqartu(m), OAkk occas. baqartum, M/NB also maqartu ""rare; valuable"" [KAL]; esp. abnu aqartu ""precious stone""; of person, freq. in PNs;",waqāru I
aqû I,"""to wait (for)"" G (imper. qi) OA, OB; jB lex. D ""wait, await"" Dt (uta/eqqû) ""wait, await"", ""expect""; ""wait attentively on s.o., attend to"" (= ana, dat.)",cf. qu''û I
aqāru I,"""to be(come) rare, precious"" G (i/i; stat. (w)aqar, also b/maqar, M/NA uqa/ur) [KAL] of commodities ""become rare"", of life ""become precious""; esp. stat. ""is rare"", ""is expensive, valuable"" D 1. fact. of G2. ""ignore"" order OBŠ ""make rare, scarce""; ""esteem, respect, honour"" god, person, name; OA ""attach importance to, overvalue"" s.th. Štn iter. of Š Št refl. of Š ?",waqru I waqqaru I waqqurtu Išūquru Išūquriš I
ar'abu I,(or ar'ibu) (a plant) jB lex.,
arabû I,1. (an edible water-fowl) [ARA4.BU.MUŠEN] (cf. arabānû)2. (a plant) jB,Sum.? 
arabānû I,(a bird) jB; = arabû ?,
arad-šarrūtu I,"""royal service"" NB [LÚ.ÌR.LUGAL- ];",wardu I + šarrūtu
araddu I,"""wild ass"" jB;",W.Sem. 
aragubbû I,(a mathematical term) OB lex.;,Sum. 
arahhu I,"""storehouse, granary"" OB lex., jB;",Sum. 
arahhu II,(a genre of  songs) jB;,Sum. 
arahû I,"~ ""fixed metrological ratio""? OB math. [A.RÁ.HI];",Sum. 
arakarû I,"~ ""factor""? OB math. [A.RÁ.KÁRA];",Sum. 
arakku I,,
aralaš I,(a plant) jB lex.;,Kass.? 
arallû I,"""netherworld"" O/jB [ARALI(=É.KUR.BAD)] jB šad a. ""mountain of the netherworld"", also desig. of temple;",Sum. 
aramanātu I,"f. pl. ~ ""lairs""? jB of wild animals",
aramanītu I,"pl. aramaniātum ~ ""constant in an equation""? OB math.;",Sum.? 
arammu I,"~ ""causeway"" Bab. ""ramp"" (for siege); ""embankment, bund"" of canal",cf. armu III
arantu I,(a kind of grass) jB,
arapšannu I,(a precious object)? Am.(Mit.);,Hurr.? 
ararathu I,(a tree) jB lex.;,Hurr.? 
ararihuru I,(a functionary) Nuzi;,Hurr. 
arariānu I,(a plant) M/jB med.,
ararratu I,"""female miller, grinder"" MB [MUNUS.ÀR.ÀR (cf. ṭē'ittu)];",ararru I
ararru I,"""miller, grinder"" Bab. [(LÚ.)ÀR.ÀR (cf. ṭē'inu)]; OB bīt a. ""mill"";",ararratu Iararrūtu Iāriru I
ararrūtu I,"""work of a miller"" jB;",ararru I
ararû I,"(a plant) jB lex., med.",
ararû II,(a word for granary) jB lex.,
ararû III,(a male prostitute)? jB lex.,
arasu I,1. OB (a container for salt)?2. NA mng. unkn.,
arathu I,(a tree) jB lex.;,Hurr.? 
arattû I,"f. arattītu ""excellent"", liter. '(coming) from Aratta' j/NB of seats, daises, land; of a mark on the exta;",
arazapanatašu I,(a functionary) NB;,OPers.? 
araziqqu I,(part of a waggon) jB lex.,
arašiyannu I,(a functionary) Alal.,
araššannu I,(a bird) Am.(Mit.); = amursānu ?,
arba'u I,"f. arbattu ""four"" after kibrātu(m) ""the edges"" (of the world) OAkk; also O/jB(lit.) arch. for erbû, f. erbettu [LIMMU]",cf. erbe I
arballu I,"""sieve"" NB;",Aram. 
arbašītu I,(a type of pot) MB,
arbu I,"""waste, uncultivated"" Bab., of meadow (ugāru); = h ?;",arbūtu I
arbu II,"""fugitive, runaway"" Nuzi, jB;",nērubu Iarbūtu II
arbānu I,(a plant) jB lex.,
arbūtiš I,"""into barren land"" jB;",arbūtu I
arbūtu I,"""desolation"" M/jB [(MUNUS.)KAR- ] in a. šūluku ""to make desolate, lay waste"";",arbu I > arbūtišarbūtiš I
arbūtu II,"""flight, rout"" O/jB, of army, person in a. alāku ""to take flight""; status of a fugitive;",arbu II
ard-ēkallūtu I,"""palace service"" NB [LÚ.ÌR.É.GAL- ];",wardu I + ēkallūtu
ardabu I,"(a measure of capacity, ~ 56 litres) NB;",Aram. or OPers.? 
ardadillu I,"(a plant) M/jB lex., med. [Ú.AŠ.TÁL.TÁL]",
ardadu I,"~ ""thief"" jB",
ardanānu I,"~ ""phantom, double"" of a dead person M/jB med.",cf. andunānu I
ardatu I,"""girl, young woman"" OAkk, Ass., O/jB [(MUNUS.)KI.SIKIL]; ardat lilî (a demoness) (cf. lilium);",wardu I
ardu I,"""slave, servant"" [ÌR(- ); IR11(- ); SAG.ÌR(- ); OA IR(- )];",arādu Iwardatu Iwardūtu Iurdānūtu Iarad-ēkallūtu Iarad-šarrūtu I
ardūtu I,"""slavery"" [ÌR- ; SAG.ÌR- ; OA IR- ] ""status as slave""; Mari and later ""vassalage, (political) servitude"";",wardu I
argabu I,(a bird) jB lex. [ARGAB.MUŠEN];,Sum. 
argamannu I,"""purple"" j/NB, NA [SÍK.ZA.GÌN.SA5], of textiles; Bogh. ""tribute""",
argibillu I,(a wooden structure)? jB lex.;,Sum. 
arginnu I,(a commodity) OAkk(Susa),
argukku I,"(an agricultural implement, phps.) ""roller"" O/jB lex.;",Sum. 
argānu I,(a conifer; its resin) O/jB esp. med.  cf. m,cf. margānu I
arhiš I,"""quickly, hastily"" Ass., O/jB;",arhu I
arhišam I,"""monthly, every month"" [ITI- ];",warhu I
arhu I,"f. aruhtu ""fast, quick"" O/jB, NA; in OB ext. epith. of kakkum; jB(Ass.), NA of copper, bronze;",arāhu Iarhiš I
arhu II,"f. ""cow"" O/jB [(GU4.)ÁB]",cf. a. III
arhu III,"f. ""half-brick"" O/jB [SIG4.ÁB]; = a. II ?",
arhussu I,"""every month, monthly"" j/NB [ITI- ];",warhu I + -ūt + -šu
arhā I,"""every month"" NB [ITI(.A)(.TA)(.ÀM/A')];",warhu I
arhālu I,(an object) OA,
arhānû I,"'monthly ...'? jB lex.  1. ""green, unripe date""2. (an intestinal disorder)",warhu I + -ān + -ī ?
arhītu I,"""monthly instalment"" OB;",warhu I
aribû I,(a garment) MB,
arihu I,"(a plant) jB lex., med.",
ariktu I,"1. (a kind of spear) jB [GIŠ.GÍD.DA]; pl. arkātu2. ""length"" jB ext., comm.3. (a wind instrument) jB",arku I
arinnu I,"""well"" Nuzi;",Hurr. 
aripše I,(an agricultural implement) Nuzi;,Hurr. 
ariru I,"(or āriru, arīru)  1. (a priest uttering curses)? NB2. (an epith. of fire) jB3. (a weapon) jB;",arāru II or III
arka I,"[EGIR] adv.  1. of time ""afterwards, later""2. of place ""behind""",arkāniš I warkānu I cf. warkatu I
arkabinnu I,"1. Bab. (kind of door, phps.) ""half-door"", also dalat a.2. Nuzi (a festival; a month)",Hurr.? 
arkabu I,(a type of decoration) Nuzi;,Hurr. 
arkat I,"""after"" Bab., OA  1. prep. ""behind; after"" s.o.('s departure), a date; freq. + poss. suff., e.g. warkatka; also ina w.2. OB conj. + subjunct. ""after""3. jB adv. ana a. ""backwards""",warkatu I st. constr.
arkatu I,"""rear"" [EGIR; A.GA]  1. ""backside""; also du. ""buttocks"" of human, animal; NB also uzua. as joint of meat2. ""rear part, rear side"" of weapon, ship etc.; of part of body; of house, piece of land3. ""rear guard"" of army, ""later instalment"" of consignment4. ""estate, legacy""5. ""arrears""6. warkatam parāsum, ša'ālum, hiāṭum ""to determine, examine the background (facts)""",urkātu I ? warkat Iwarkatam I cf. warka Iwarki Iwarku Iwarkû I
arki I,"""after, behind"" [EGIR]  1. prep. of place and time, freq. + poss. suff. e.g. warkišu ""behind him; after him, after his departure, death; later, thereafter""; OB arki alpī ""oxdriver""2. Bab. conj. ""after"" + subjunct.",arkīši I cf. arkīnišu I warka I warkatu I
arkillâ I,(an animal figure)? jB lex.,
arkiš I,"adv. ""back"" jB in a. târu ""to return""; ""behind"" in pāniš u arkiš;",warkum IAss. cf. urkiš I
arku I,"""long"" [GÍD(.DA)], of objects, time; ""tall"" of people; ūmū arkūtu ""long life""; MB ana a. nadû ""to put off"";",arāku Iarraku Iariktu I
arkâ I,"~ ""henceforth"" MB;",warkû I ?
arkû I,"(NB cf. uškû I) ""rear, later"" [EGIR] A. of place 1. ""rear, hindmost""; ""second-ranking, secondary, lesser (in worth)""2. NA leg. ""guarantor""3. Mari ""reserve""? in army, M/jB(Ass.) ""soldier in rearguard""B. of time 1. ""later, subsequent"" delivery, letter, extispicy etc.; wife, child; of month ""intercalary""2. ""future"" king, people arkâ I ?nam ?warkītu Icf. warkatu I",arkâ I ? namarkû I ? warkītu I cf. warkatu I
arkāniš I,"adv. ""back; later, subsequently"" j/NB a. târu ""to return"";",wark I + -ān + -iš
arkānu I,"""later, afterwards"" [EGIR]; Ug. arkānašu ""thereafter"";",warka I
arkīnišu I,"""afterwards"" NB;",warki I
arkīta I,"""later, afterwards"" OA, NA, occas. Bab.;",warkītu I
arkītu I,"A. sg. 1. O/MB ""posterity, descendant(s)""; NA in PN2. MB ""remainder""3. astr. ~ ""secondary position"" of planet4. O/MA ina warkītim/urkitte ""later, afterwards""; OB ana w., ana w. ūmim ""for the future, always""5. Am. ina arkītiya ""behind me""B. pl. warkīātum, (w)arkâtu(m) [EGIR(.MEŠ)] 1. ""future"" esp. (w)arkīāt ūmī ""future time""; a. ili/ī in M/NA, M/NB PNs ""future (favour) of the god/s""2. w. šattim ""latter part of the year""3. OA ina w. ""later, afterwards""4. ana w. ""for the future, always""",warkû Iwarkītam I
arkīši I,"""thereafter"" NB for arkīšu;",warki I
armaniš I,"""like an apricot?"" jB(lit.);",armannu I
armannu I,"""apricot? (tree)"" O/jB [GIŠ.HAŠHUR.KUR.RA]; jB, branch used as drug, kernel used as perfume",
armatu I,"(metal sheeting or plating) of copper on door OAkk(Sum.); of gold, as decoration MB",
armaya I,"f. armītu ""Aramaic"" NA of scribe, document etc.",
armašītu I,(a pottery vessel) MB,
armu I,"""covered"" jB of weapon; of tablet ""enclosed"" in envelope (cf. harāmum I);",arāmu I
armu II,"~ ""mountain goat"" M/NA, M/jB hunted; as decoration; NA kaqqad a. ""goat's head (situla)""",
armu III,jB lex. = arammu ?,
armēdu I,(a plant) jB lex.,
armūtu I,"""desolation"" jB lex.",
arnabtu I,"""female hare"" O/jB; OB Arnabatum as fPN;",arnabu I
arnabu I,"pl. f. ""hare"" OAkk, O/jB; NA as PN;",arnabtu I
arnu I,"""guilt, fault; penalty"" [NAM.TAG.GA]  1. (secular) ""fault"", (religious) ""sin""; a. paṭāru, a. pašāru ""to undo, forgive sins""; bēl a., ša a. ""culprit, sinner""; Am. awīl a. ""evil-doer""2. ""penalty, punishment"", a. emēdu/našû ""to impose/suffer punishment""; OA ana a. n/tadānum ""to subject s.o. to punishment""3. Mari a. turrum ""transfer responsibility"" onto s.o.",arānu II
arnurhēli I,(a prof.) Nuzi;,Hurr. 
arpanu I,(a kind of house)? Nuzi;,Hurr.? 
arqu I,"f. (w)aruqtu(m)  1. ""yellow, green"" [SIG7(.SIG7)] of textiles, gold, stone, animal; of tree, plant, fruit; ""sallow"" of discoloured skin, body2. as subst. ""greenery""; in pl. (w)arqū, erqū, urqū, NB mašqū ""greens, vegetables"" [(Ú.)SAR(.MEŠ)]",warāqu Iarqūtu I
arqūtu I,"""greenness, freshness"" Bogh., M/jB [SIG7];",warqu I
arr... I,also = ana r...,
arrabu I,"?, arrapu; f. arrabtu ~ ""dormouse""? Bab. [PÉŠ.(GIŠ.)ÙR.RA]; rit., skin of dormouse",
arraku I,"""very long, tall"" Bab., O/MA; used as pl. of cf. arku",
arrapšātu I,f. pl. (a social class of women)? Mari,
arraqu I,"""very green"" jB;",warāqu I
arratu I,"""curse"" OAkk, OA, M/jB [ÁŠ] a. arāru ""to curse s.o. (with a curse)""; a. lā napšuri ""unliftable curse""; NB a. ilāni ""one cursed by the gods"";",arāru IIcf. erretu I
arriātu I,in ša a. mng. unkn. OB lex.,
arriš I,(a bird) jB om.,
arru I,"""cursed"" jB lex.;",arāru II
arru II,(desig. of sheep) jB lex.,
arru III,"""decoy bird"" M/NB;",arrūtu I
arru IV,"(a weapon) OB, jB lex.",
arru V,meeting (?),
arrā'u I,"""on the ground""? NB of goose",
arrātu I,"pl. tant. ""brand mark"" on the hands of temple slaves NB",
arrūru I,(a textile or garment) OB,cf. harīru I ?
arrūtu I,"""role as decoy"" NB;",arru III
arsasû I,(a mountain bird) OB,
arsikku I,(a kind of millet)? jB lex.;,Sum.? 
arsu I,~ arzānu NA lex.,
arsuppu I,"1. ""carp"" M/jB [GU4.UD.KU6]; qulipti a. ""carp scales""; mīli a. ""carp flood""2. (a cereal, phps.) ""einkorn"" M/jB, NA [ŠE.EŠTUB]; miris a. ""einkorn broth""3. (a kind of apple)? jB lex.",
artamašše I,mng. unkn. Nuzi;,Hurr. 
artartena I,(a type of textile) Nuzi;,Hurr. 
artartennūtu I,(a special treatment of textiles) Nuzi;,Hurr. 
artu I,"""branches, foliage"" j/NB;",aru I
artāma I,"(or artāwa) ""blessed state"" NB;",OPers. 
aru I,"""branch, frond"" O/jB [PA] of date palm, tamarisk, trees; ""stalk"" of plant;",artu I
aru II,(a type of wool) jB lex.,
aru III,"""hide"" of ox OA",
arugimānu I,"""legal claim"" OAkk, OB usu. pl.;",ragāmu I
arullu I,"(an ornament) Qatna, in necklace",
aruppu I,"""armpit"" jB",cf. uruppu I
arurtu I,"~ ""famine, hunger"" O/jB of land, of individuals;",arāru III
arutû I,"~ ""mountain"" jB lex.",
arwiu I,"""male gazelle"" OAkk, O/jB; OAkk, OB as PN; OB also fPN Arw/mītum; OAkk also Arbium, Arbûm, Arbītum",
arzallu I,1. jB (a plant)2. j/NB (a stone) as jewellery; in mag.3. OA (an implement),
arzanikkatu I,(a plant) jB,
arzatu I,(a container) Nuzi,
arzatu II,(a plant) jB lex.,
arzānu I,"""barley-groats"" [AR.ZA.NA]",cf. arsu I
arâniš I,"""like eagles"" jB [TI8.MUŠEN];",erû I + -ān + -iš
arû I,"""result"" Bab. math. [A.RÁ]  1. ""product"" of multiplication2. ""factor, multiplier"" (cf. alāku G 6)3. ""ready reckoner, numerical table, astronomical ephemeris""",Sum. 
arû II,"""granary, storehouse"" OA, jB lex.",
arû III,"""to vomit"" O/jB G (pres. i'arru) [BURU8(=HAL)] Gtn iter. of G Š med. ""make vomit"" with feather",
arû IV,"""to be(come) pregnant, conceive"" Bab., NA G (i/i) [PEŠ4] of animal, human; with child (= acc.) D ""make pregnant"" jB Š caus. of G ""impregnate"" N Ug. = G ?",arītu I mērû I erûtu II urû VI āru I
arû V,"""hungry"" jB lex.",
arû VI,"""to cut off"" Bab. G (u/u ?) NB ""prune, lop"" date palm D (urrû(m), j/NB murrû) 1. OB of goddess ""sever"" (the umbilical cord)? of king2. jB of meteor ""cut short, stop"" luminous display3. jB of enemy, flood ""ruin"" harvest4. NB ~ GDt pass. of D 4",urrû Iurû IImuwarrītu I tārītu II
arādu I,"""to serve"" Am.(Syria) G ""be servant of"" king D ~ G",wardu I denom.
arāhu I,"""to hasten"" O/jB G (pret. īrah; stat. aruh) ""be urgent, hurry""; vent. ""come quickly"" D ""speed up, send speedily""; ""scare away""; in hendiad. urruhu + vb. ""do X quickly"" Štn iter. ""hurry (s.o./th.) very much""",arhu Iarhiš I urruhiš I murrihu I cf. erēhu I
arāhu II,"~ ""to devour, destroy"" O/jB G (a/u) of fire, dog ""consume"" opponent, life Š caus. of G",cf. erēhu I
arāku I,"""to be long"" [GÍD(.DA)] G (i/i) of distance; transf. in PN of arm (idum); of time, patience, life, reign ""be long, last long; drag on; be too long"" D of space, time ""make long, lengthen; be overdue""; in hendiad. urruku + vb. ""do X at length"" Dt ""be protracted"" Š ""prolong, extend"" time",arku Iariktu I arraku I urku I mūraku Imāraku I urāku I
arāmu I,"""to cover"" Bogh., jB G (i/i) ""cover s.th. with s.th."" (= 2 acc.), drum with skin, object with gold; ""place (tablet) in a (clay) case""; ext., bodily parts; of cloud ""cover"" moon, planet; of smoke ""veil"" face; transf. ""cover"" s.o.'s face etc. with radiance, gloom etc. D ""cover up""","armu I nāramu I ermu I erimtu IIurindu I tārīmu I OA, OB cf. harāmum I"
arānu I,"f. ""chest, cashbox, coffin"" j/NB of wood, stone",
arānu II,"""to be guilty"" G Am. stat. only D Mari ""blame""",arnu I denom.?
arāqu I,"""to be(come) green-yellow; pale"" G (i/i; stat. (w)aruq, occas. uruq) [SIG7] ""become green, yellow; pale"" of face, invalid; of fluids, fruit, glass, star Gtn iter. of G [SIG7.SIG7; SIG7.MEŠ] D (OB lex. imper. burriq) fact. of G Dt pass. of D ? Š ""gild"" NA N ""become yellow""",warqu Iarqūtu I wurqu Iurqītu Imarqītu IIurqatta I ? uriqtu I wurrīqu I arraqu I wurruqu I awurriqānu I
arāru I,"subst. ""curse"" jB, NA;   I infin.",arāru II infin.
arāru II,"""to curse; insult"" OAkk, Bab., M/NA G (a/u) ""curse"" s.o./s.th., erretam/arratam a. ""curse s.o. with a curse""",arru I1 ariru I arratu Ierretu I arāru I errerû I
arāru III,"""to be convulsed"" Bab. G (u/u, pres. also i'arru/ar) [UR4] of human beings, demons, animals, earth(quake) ""tremble, shake"", lit. ""suffer cramp, be convulsed""?; med., of parts of body (freq. harāru, different word ?); of sea, rivers ""be rough, muddy"" Gtn iter. D ~ ""stir up, frighten""; om., med. in stat. of parts of body ""suffers cramp, convulses"" Dt ~ ""be stirred up, convulsed"" N ingress. ""begin to convulse""? Ntn iter. of N and G [UR4.UR4]  3 ariru Iarurtu Itārūru I ?the verbs erēru and harāru I cannot yet be differentiated in every casecf. also tarāru I",3 ariru I arurtu I tārūru I ? the verbs arāru IIIerēru and harāru I cannot yet be differentiated in every case cf. also tarāru I
arībānu I,(a plant) jB lex.,
arītu I,"""pregnant (woman)"" Bab., NA [MUNUS.PEŠ4] also of animal; a. šamni ""pregnant with oil"" (a plant);",arû IV
arītu II,"1. Ass., M/NB ""shield""; of leather, wood, metal; NA LÚ (= ša ?) a. ""shield-bearer""; on chariot2. jB (syn. of door)3. jB (desig. of planet Venus)",
arītu III,"(a knife, dagger) jB lex.",
aršammaya I,(a group or organization) NB,
aršu I,"f. aruštu, maruštu ""dirty"" OA, M/NB of clothing, person; f. sg. and pl. as subst. ""dirt"";",warāšu I
aršuzuzil I,(a drug) MB,cf. zuzillu I
aršātu I,"f. pl. 'what is cultivated', ""barley"" OA [GIG];",eršu II Ass.
arūnu I,(a plant) jB lex.,
arūru I,"~ ""outlet of a canal"" jB",
arūtu I,"""(clay) pipe"" O/jB for libations, over grave",
arṣabu I,pl. f. (an agricultural implement)? NB,
arṭiš I,(or ardiš) adv. mng. unkn. jB lex.,
asa'ītu I,"pl. asāyātu, NA asi'ātu, asâtu, esāyātu, a/isitāte ""tower"" M/NA of fortification wall; ""pyramid"" of bodies or heads on the battlefield",cf. išittu I
asakkiš I,"""like s.th. tabooed"" jB;",asakku II
asakku I,(an evil demon) O/jB [ÁZAG(=Á.PA)]; (also disease caused by a. demon);,Sum. 
asakku II,"""taboo"" OA, O/jB [AZAG(=KÙ.AN)] esp. a. akālu ""to break a taboo""; (s.th. reserved for a god or king); M/jB bīt a. ""forbidden building, sanctum"";",asakkiš I
asallu I,"f.  1. (a copper vessel) O/jB, M/NA2. (a stone) jB lex.",
asanītu I,pl. asaniātu (an oleiferous plant) MA in perfume recipes,
asarru I,"(an archit. feature) NB, bearing inscription",cf. a. II
asarru II,(a type of lit. document) NA; = a. I ?,
asaru I,(a class of person) Mari,
ashar I,"(a kind of stone) jB lex., med. [ŠIM.BI.SIG7.SIG7] as drug; Bogh. cf. išhar",
asikilla I,"""holy water"" jB lex.;",Sum. 
asiqatu I,mng. uncl. NB lex.,
asirtu I,"""female captive"" jB, also OB fPN Asīratum;",asīru I
asisû I,(a word for copper) jB lex.,
askuppu I,"pl. m. & f. ""(threshold) slab"" Bab., NA [NA4.I.DIB] usu. of stone; transf. part of a chariot; part of irrigation device; part of the lung",
asliš I,"""like sheep"" jB;",aslu I
aslu I,"""ram; sheep"" jB as sacrifice;",asliš I
aslu II,"f. (a special cubit measure) jB, NA; ubān a. ""finger (i.e. subdivision) of a. cubit""",
asmiš I,"""in a fitting manner"" j/NB, a. šūluku ""to make suitable, adorn"";",wasmu I
asmu I,"""fitting, suitable"" Bab., OA; ""seasonable"" of vegetation;",wasāmu Iasmiš I
asmātu I,pl. tant. (a type of horse trappings)? jB,
asmīdu I,(a garden plant) j/NB,
asnû I,"""(date) from Dilmun"" j/NB [TILMUN(=NI.TUK).KI]; lex. also ""(copper) from Dilmun""",
aspastu I,"pl. asupasātu ? ""lucerne"" NB;",Iran. 
aspastūa I,"""fodderer"" NB;",Iran. 
aspatu I,in bīt a. mng. unkn. NB,
asqiqu I,(a bird) jB lex.,
asqubbītu I,"""hump"" Bab., of cattle, camels; jB om. of deformed foetus",
asqūdu I,"OAkk, O/jB, NA [PÉŠ.TÚM.TÚM.ME]  1. (a rodent); as PN2. (a kind of snake)",ašqūdānu I
asru I,mng. uncert. NB,
ass... I,also = ana s...,
assammu I,"pl. m. & f. ""goblet, drinking vessel"" OAkk, Bab. [AN.ZA.AM] of copper, silver, cedarwood;",Sum. 
assaru I,"~ ""charioteer"" jB",
assaštaranni I,(cloth streamers on fly-whisk) Am.;,Hurr. 
assinnu I,"?, lex. also assinnatu ~ (male cultic prostitute) O/jB, Alal., Nuzi, NA [(LÚ.)UR.MUNUS; SAG.UR.SAG]",
assinnūtu I,"(rôle of assinnum) OB in a. epēšum ""to act as an assinnum""",
assukku I,"""sling-stone"" Susa, jB",
assurri I,"""(if) perchance"" (of undesirable eventuality), ""hopefully ... not ..."" OA, OB, Am.; before neg. or proh. ""on no account should ..."";",ana I + surri
asu I,"""myrtle"" [(GIŠ/ŠIM.)AZ; Mari also GIŠ.A.AZ, GIŠ.A.ZU; j/NB, NA ŠIM.GÍR] for incense; šaman a. ""oil of myrtle"" as drug",
asu II,"pl. f. ""bear"" O/jB [AZ]; as PN, also f. Asatum;",asānu I
asumatu I,(a part of the plough) jB lex.;,asumatānu I ?
asumatānu I,(a bird) jB;,asumatu I + -ān ?
asumittu I,"pl. asuminētu(m) ""inscribed slab"" Bab., NA of stone, metal; carved relief; as boundary stone, stele, foundation document",
asuppu I,"pl. f. ~ ""out-building, annexe"" M/NB; also bīt a.",cf. asuptu I
